timestamp,order_id,instrument,side,amount,price,,,
Execution Set 1,,,,,,,,
3:00:00 PM,64,EUR_USD,buy,9130,1.09534,,,
3:06:01 PM,70,EUR_USD,buy,9130,1.09542,,,
3:12:01 PM,76,EUR_USD,buy,9129,1.09548,,,
3:18:01 PM,82,EUR_USD,buy,9129,1.0955,,,
3:24:01 PM,88,EUR_USD,buy,9130,1.09543,,,
3:30:01 PM,94,EUR_USD,buy,9130,1.09536,,,
3:36:02 PM,100,EUR_USD,buy,9131,1.09529,,,
3:42:02 PM,106,EUR_USD,buy,9129,1.09548,,,
3:48:02 PM,112,EUR_USD,buy,9130,1.09542,,,
3:54:03 PM,118,EUR_USD,buy,9128,1.09562,,,Average Price
4:00:03 PM,124,EUR_USD,buy,9128,1.09558,,,1.095488
4:06:03 PM,130,EUR_USD,buy,9130,1.09531,,,
4:12:03 PM,136,EUR_USD,buy,9130,1.09542,,,
4:18:04 PM,142,EUR_USD,buy,9130,1.09541,,,
4:24:04 PM,148,EUR_USD,buy,9131,1.09531,,,
4:30:04 PM,154,EUR_USD,buy,9129,1.09553,,,
4:36:04 PM,160,EUR_USD,buy,9127,1.09572,,,
4:42:05 PM,166,EUR_USD,buy,9127,1.09573,,,
4:48:05 PM,172,EUR_USD,buy,9127,1.09574,,,
4:54:05 PM,178,EUR_USD,buy,9128,1.09567,,,
Execution Set 2,,,,,,,,
7:00:00 PM,185,EUR_USD,buy,9130,1.09536,,,
7:06:00 PM,191,EUR_USD,buy,9131,1.0953,,,
7:12:01 PM,197,EUR_USD,buy,9131,1.09526,,,
7:18:01 PM,203,EUR_USD,buy,9132,1.09519,,,
7:24:01 PM,209,EUR_USD,buy,9132,1.09516,,,
7:30:01 PM,215,EUR_USD,buy,9133,1.09499,,,
7:36:02 PM,221,EUR_USD,buy,9134,1.09494,,,
7:42:02 PM,227,EUR_USD,buy,9133,1.09496,,,
7:48:02 PM,233,EUR_USD,buy,9133,1.09506,,,
7:54:02 PM,239,EUR_USD,buy,9131,1.09526,,,
8:00:03 PM,245,EUR_USD,buy,9131,1.09528,,,
8:06:03 PM,251,EUR_USD,buy,9128,1.09566,,,
8:12:03 PM,257,EUR_USD,buy,9128,1.09564,,,Average Price
8:18:03 PM,263,EUR_USD,buy,9128,1.09564,,,1.095484667
8:24:04 PM,269,EUR_USD,buy,9127,1.09575,,,
8:30:04 PM,275,EUR_USD,buy,9128,1.0956,,,
